Nome do Arquivo,Possivel raça,Cor aproximada,Porte aproximado,Peso Aproximado,Texto da imagem,URL do post,Texto do post
2024-05-05_17-09-51_UTC,Indeterminada,Creme,Medio,15,,https://www.instagram.com/p/C6mDtKurzbA,"🐾Cão macho
📍La Salle - Canoas/RS"
2024-05-05_17-30-02_UTC,Indeterminada,Caramelo,Pequeno,5,,https://www.instagram.com/p/C6mGA-vL6yA,"🐾Fêmea
📍La Salle - Canoas/RS
Porte M"
2024-05-05_17-54-18_UTC,Indeterminada,Preto e branco,Médio,20,,https://www.instagram.com/p/C6mIysJL_n4,"🐾Fêmea
📍La Salle - Canoas/RS
Porte M"
2024-05-05_17-55-59_UTC,Indeterminada,Bege,Medio,20,,https://www.instagram.com/p/C6mI_ByLO7H,"Macho, porte G
📍La Salle Canoas/RS"
2024-05-05_18-02-23_UTC_1,Indeterminada,Caramelo,Pequeno,10,,https://www.instagram.com/p/,
2024-05-05_18-02-23_UTC_2,Indeterminada,Marrom claro,Pequeno,10,,https://www.instagram.com/p/,
2024-05-05_18-04-29_UTC,Indeterminada,Preto e marrom,Médio,15,,https://www.instagram.com/p/C6mJ9VrLUi4,"Femea, porte M
📍La Salle, Canoas/ RS"
2024-05-05_18-09-15_UTC,Indeterminada,Branco e marrom,Médio,20,,https://www.instagram.com/p/C6mKgK-r8-3,"Macho, porte M
📍La Salle, Canoas/ RS"
2024-05-05_18-10-14_UTC,Indeterminada,Preto e branco,Médio,20,,https://www.instagram.com/p/C6mKndFLmrn,"Fêmea, porte M
📍La Salle, Canoas/ RS"
2024-05-05_19-23-14_UTC_1,Indeterminada,Preto e Marrom,Pequeno,10,,https://www.instagram.com/p/,
2024-05-05_19-23-14_UTC_2,Indeterminada,Preto e Marrom,Médio,20,,https://www.instagram.com/p/,
2024-05-05_19-29-49_UTC,Boxer,Marrom,Médio,30,,https://www.instagram.com/p/C6mTuW5r9eO,"Macho, porte G
📍 La Salle, Canoas/ RS"
2024-05-05_20-23-52_UTC,Indeterminada,Preto e marrom,Médio,15,,https://www.instagram.com/p/C6mZ6PNO7yP,"🐾Fêmea, porte P
📍La Salle - Canoas/RS"
2024-05-05_20-31-44_UTC,Indeterminada,Preto e Marrom,Médio,20,,https://www.instagram.com/p/C6mazvmrH4R,"🐾Fêmea, porte M 
📍La Salle - Canoas/RS"
2024-05-05_20-33-48_UTC,Indeterminada,Preto e marrom,Grande,40,,https://www.instagram.com/p/C6mbC42LqcH,"🐾Macho
📍La Salle - Canoas/RS"
2024-05-05_20-35-30_UTC,Indeterminada,Preto e bege,Médio,15,,https://www.instagram.com/p/C6mbPWTrx0i,"🐾Macho, porte P
📍La Salle - Canoas/RS"
2024-05-05_20-47-54_UTC,Indeterminada,Preto,Grande,30,,https://www.instagram.com/p/C6mcqKvr2do,"🐾Fêmea, porte M 
📍La Salle - Canoas/RS"
2024-05-05_20-49-26_UTC,Indeterminada,Preto e caramelo,Médio,20,,https://www.instagram.com/p/C6mc1dHraIo,"🐾Macho, porte G
📍La Salle - Canoas/RS"
2024-05-05_20-50-20_UTC,Indeterminada,Marrom claro,Médio,20,,https://www.instagram.com/p/C6mc8CkLgPw,"🐾Macho, porte G 
📍La Salle - Canoas/RS"
2024-05-05_20-53-13_UTC_1,Galgo,Marrom,Grande,30,,https://www.instagram.com/p/,
2024-05-05_20-53-13_UTC_2,Indeterminada,Marrom tigrado,Médio,20,,https://www.instagram.com/p/,
2024-05-05_20-53-13_UTC_3,Indeterminada,Marrom brindle,Grande,30,,https://www.instagram.com/p/,
2024-05-05_21-33-01_UTC,Indeterminada,Preto e branco,Médio,15,melón | dulce | CLASS 1-3 | SELECTED MELONS | PRODUCE OF BRAZIL | AGROPECUÁRIA,https://www.instagram.com/p/C6mh0ner4eg,"porte M
📍La Salle, Canoas/ RS"
2024-05-05_21-36-45_UTC,Indeterminada,Preto,Pequeno,5,,https://www.instagram.com/p/C6miP9cr2KK,"porte P
📍La Salle, Canoas/ RS"
2024-05-05_21-37-38_UTC,Indeterminada,Preto e Branco,Médio,Indeterminado,,https://www.instagram.com/p/C6miWcDrufw,"Femea porte P
📍La Salle, Canoas/ RS"
2024-05-05_21-42-30_UTC,Indeterminada,Preto e marrom,Grande,30,,https://www.instagram.com/p/C6mi6JML0qx,"Macho, porte G
📍La Salle, Canoas/ RS"
2024-05-05_21-47-21_UTC,Indeterminada,Preto,Pequeno,10,,https://www.instagram.com/p/C6mjdrXrQhx,"Fêmea, porte P
📍Esta com a @anak.dzt"
2024-05-05_21-49-12_UTC,Indeterminada,Marrom claro,Pequeno,10,,https://www.instagram.com/p/C6mjrH0rtaq,"🐾Fêmea, porte P
📍La Salle - Canoas/RS"
2024-05-05_21-50-05_UTC_1,Indeterminada,Marrom,Pequeno,10,,https://www.instagram.com/p/,
2024-05-05_21-50-05_UTC_2,Indeterminada,Marrom,Pequeno,4,,https://www.instagram.com/p/,
2024-05-05_21-50-26_UTC,Indeterminada,Marrom com Preto,Médio,20,,https://www.instagram.com/p/C6mj0OsLnnJ,"🐾Macho, porte G
📍La Salle - Canoas/RS"
2024-05-05_21-51-28_UTC,Indeterminada,Cinzento e castanho,Médio,Indeterminado,,https://www.instagram.com/p/C6mj71kLN4b,"Fêmea, porte p
📍La Salle, Canoas/ RS"
2024-05-05_21-51-30_UTC,Indeterminada,Marrom,Médio,20,FRAGILE HYDRA,https://www.instagram.com/p/C6mj8AqrHXP,"🐾Macho, porte M
📍La Salle - Canoas/RS"
2024-05-05_21-52-15_UTC,Indeterminada,Marrom,Médio,20,,https://www.instagram.com/p/C6mkBdpLnEp,"🐾Macho, porte G
📍La Salle - Canoas/RS"
2024-05-05_21-53-41_UTC,Indeterminada,Preto,Médio,20,,https://www.instagram.com/p/C6mkMCVr_Bg,"Femea, porte M
📍La Salle, Canoas/ RS"
