Nome do Arquivo,Possivel raça,Cor aproximada,Porte aproximado,Peso Aproximado,Texto da imagem,URL do post,Texto do post
2024-05-05_21-01-57_UTC,Indeterminada,Branco com manchas marrons,Pequeno,5-10 kg,,https://www.instagram.com/p/C6meRDjxw5l,🚨 ENCONTRADO EM NOVO ESTEIO | está no abrigo Três Marias
2024-05-05_21-02-41_UTC_1,Mutt,Marrom com preto,Médio,15-25 kg,,https://www.instagram.com/p/,
2024-05-05_21-02-41_UTC_2,Não é possível determinar com precisão a raça do cão apenas pela imagem,Marrom com algumas partes brancas,Médio,Não é possível determinar o peso apenas pela imagem,,https://www.instagram.com/p/,
2024-05-05_21-12-12_UTC,Mestiço,Preto e marrom,Médio,Indeterminado,"Procura-se
Magali
elas estavam na Rua Capitão Armindo Bier 1170 - Bairro Vicentina SL
Número para contato (51) 9 84982867
Amanda Santos
@mandyyears",https://www.instagram.com/p/C6mfcIbRXgs,🚨 PROCURA-SE BAIRRO VICENTINA - SÃO LEOPOLDO
2024-05-05_21-16-23_UTC,Cão de raça indeterminada,Marrom com partes brancas,Médio,15 a 25 kg,,https://www.instagram.com/p/C6mf64XxKlR,🚨 ENCONTRADO EM NOVO ESTEIO
2024-05-05_21-43-26_UTC,gato,Cinzento atigrado,Médio,Indeterminado,"PROCURA-SE LILO FÊMEA, CASTRADA FICARAM PRESAS NO SEGUNDO ANDAR DA CASA NA RUA PASSO FUNDO 630, ESQUINA COM PANVEL E SICREDI NA RUA RIO GRANDE DO SUL - CANOAS CONTATO: (51) 99348-2566 SOL",https://www.instagram.com/p/C6mjA-oxM9g,🚨 PROCURA-SE 🚨 CANOAS
2024-05-05_21-46-25_UTC,vira-lata (SRD - Sem Raça Definida),bege com manchas brancas,médio,não é possível estimar,"Estava na Rua Caçapava, Mathias Velho. Você me viu por aí? Atende por Bob, é macho e castrado. Tem uma cicatriz grande na pata traseira por conta de uma cirurgia. É dócil e um amor. Telefone: 51 9 99802912",https://www.instagram.com/p/C6mjW2Lxq1j,PROCURA-SE 🚨 MATHIAS VELHO - CANOAS
2024-05-05_21-48-31_UTC,Mestiço,Cinza e preto,Médio,Indeterminado,,https://www.instagram.com/p/C6mjmPEx0XU,"PROCURA -SE RAIKA 🚨 Bairro: Fátima/ CANOAS 
contato com @_monicagraziela"
2024-05-05_21-49-50_UTC,Não é possível determinar a raça exata sem mais informações,Branco com manchas pretas,Médio,Não é possível determinar com precisão sem uma avaliação física,,https://www.instagram.com/p/C6mjv10xOxq,"PROCURA-SE MEDUSA 🚨 Bairro: Fátima/Canoas 
contato com @_monicagraziela"
2024-05-05_21-52-48_UTC,Sem informações suficientes para determinar a raça exata,"{'Cão no fundo': 'Branco com preto', 'Cão em frente': 'Marrom claro'}","{'Cão no fundo': 'Médio', 'Cão em frente': 'Médio'}","{'Cão no fundo': 'Entre 15 a 25 kg', 'Cão em frente': 'Entre 15 a 25 kg'}",,https://www.instagram.com/p/C6mkFlkR8Z1,"⚠️ ILHADOS NO SEGUNDO ANDAR DA NICOLAU SEIBEL, 1063 - Bairro Rio Branco, Canoas ⚠️ CIDY e THOR"
2024-05-05_21-56-09_UTC,gato,"['Cinza', 'Laranja', 'Preto e branco', 'Branco']","['Médio', 'Médio', 'Pequeno', 'Médio']","['3-5 kg', '3-5 kg', '2-4 kg', '3-5 kg']","@tosalvocanoas @petsperdidoscanoas
Não conseguimos tirar eles de casa😔

Esses são meus gatos, Nina, Luna, Lilith, Fred e simba",https://www.instagram.com/p/C6mkeCwRwrt,"PROCURA-SE NA RIO BRANCO - CANOAS 🚨 RUA PRIMAVERA 
contato com a tutora: Número de contato 51 996395896"
2024-05-05_21-59-11_UTC,gato,Cinza,Não é possível determinar,Não é possível determinar,"Penny, femea, arisca Alberto Linck, Vicentina Tel: (53) 991 16 20 39",https://www.instagram.com/p/C6mk0Plx7Gr,🚨 PROCURA-SE NA VICENTINA/SÃO LEOPOLDO 🚨
